latitude,longitude,intensity
48.868547,2.336274,13
48.880796,2.324719,13
48.844049,2.409017,12
48.874007,2.352012,12
48.896414,2.383298,12
48.84203,2.27755,11
48.843003,2.387709,11
48.850586,2.408279,11
48.862338,2.333114,11
48.862718,2.354792,11
48.866539,2.297681,11
48.831548,2.431396,10
48.870925,2.385077,10
48.88045,2.3538,10
48.881019,2.376571,10
48.888514,2.380757,10
48.89199,2.31929,10
48.89914,2.338181,10
48.829612,2.362636,9
48.851471,2.356803,9
48.851675,2.356722,9
48.871092,2.360312,9
48.877586,2.365531,9
48.826554,2.376698,7
48.829903,2.371687,7
48.8387,2.403614,7
48.842162,2.292766,7
48.850353,2.329723,7
48.874348,2.286345,7
48.888359,2.370416,7
48.891541,2.308824,7
48.895717,2.32025,7
48.834156,2.388087,6
48.86786,2.27528,6
48.877326,2.386319,6
48.881102,2.397637,6
48.830759,2.359204,5
48.83706,2.28412,5
48.84216,2.29277,5
48.84229,2.26441,5
48.84992,2.40111,5
48.854336,2.313403,5
48.866782,2.372922,5
48.87187,2.31764,5
48.885491,2.387992,5
48.898297,2.364962,5
48.82546,2.33141,4
48.84095,2.28056,4
48.842201,2.278372,4
48.84349,2.35183,4
48.84486,2.31056,4
48.8487,2.3325,4
48.853093,2.248763,4
48.8709,2.31155,4
48.87244,2.30977,4
48.8875,2.33528,4
48.88789,2.30433,4
48.891986,2.319287,4
48.83575,2.28713,3
48.84083,2.26627,3
48.84541,2.2825,3
48.848106,2.279001,3
48.85188,2.33448,3
48.853613,2.347903,3
48.85436,2.29599,3
48.8548,2.38571,3
48.85553,2.3251,3
48.85651,2.2767,3
48.856576,2.27212,3
48.85795,2.31554,3
48.85796,2.32916,3
48.85888,2.36452,3
48.86008,2.28046,3
48.86102,2.40518,3
48.86359,2.35546,3
48.866,2.34888,3
48.86718,2.27826,3
48.86737,2.27396,3
48.86829,2.27387,3
48.869929,2.284454,3
48.87193,2.28277,3
48.874715,2.378013,3
48.88266,2.28651,3
48.88384,2.33667,3
48.88956,2.30677,3
48.89148,2.38098,3
48.82356,2.35542,2
48.82537,2.35275,2
48.828,2.35561,2
48.82839,2.33273,2
48.829365,2.426541,2
48.83071,2.32368,2
48.831441,2.325568,2
48.83145,2.32261,2
48.83207,2.29325,2
48.83302,2.34744,2
48.83427,2.30674,2
48.83439,2.29981,2
48.83581,2.2896,2
48.8373,2.32274,2
48.84008,2.25787,2
48.84008,2.352115,2
48.84073,2.28425,2
48.84123,2.33576,2
48.84144,2.2664,2
48.84149,2.27772,2
48.842163,2.292767,2
48.842384,2.277982,2
48.84277,2.26925,2
48.84281,2.25737,2
48.84281,2.31215,2
48.84369,2.34056,2
48.84492,2.32139,2
48.8466,2.32763,2
48.84679,2.30254,2
48.84707,2.34093,2
48.84734,2.29901,2
48.84747,2.31345,2
48.84748,2.32991,2
48.84777,2.32319,2
48.84832,2.26595,2
48.84886,2.33542,2
48.8489,2.26665,2
48.84945,2.26878,2
48.84947,2.33904,2
48.85045,2.3534,2
48.85145,2.29993,2
48.85159,2.31906,2
48.8516,2.35428,2
48.85354,2.29152,2
48.85357,2.34171,2
48.85397,2.36466,2
48.85418,2.2759,2
48.8546,2.36813,2
48.85546,2.26915,2
48.85582,2.33668,2
48.85583,2.37523,2
48.85595,2.30237,2
48.85595,2.36229,2
48.85621,2.38724,2
48.85636,2.27193,2
48.85729,2.30613,2
48.85781,2.2798,2
48.857975,2.315157,2
48.85822,2.3522,2
48.85869,2.32339,2
48.85934,2.37572,2
48.85992,2.31661,2
48.860001,2.34445,2
48.860058,2.381546,2
48.86161,2.27856,2
48.86171,2.3222,2
48.86188,2.28337,2
48.862236,2.280253,2
48.86256,2.33583,2
48.86262,2.34072,2
48.86262,2.35978,2
48.8632,2.36293,2
48.86355,2.34069,2
48.86379,2.36605,2
48.86407,2.38082,2
48.86414,2.40255,2
48.86496,2.31032,2
48.86544,2.35606,2
48.8655,2.25816,2
48.865904,2.289504,2
48.866,2.37878,2
48.866099,2.387621,2
48.86628,2.29693,2
48.86651,2.28617,2
48.866569,2.326094,2
48.86657,2.30561,2
48.86669,2.32836,2
48.86686,2.28047,2
48.867,2.27907,2
48.867262,2.299293,2
48.86783,2.28563,2
48.86806,2.28088,2
48.86823,2.28446,2
48.86849,2.38888,2
48.86862,2.27758,2
48.86864,2.34841,2
48.86881,2.32184,2
48.86934,2.32012,2
48.86949,2.31968,2
48.8698,2.3186,2
48.869867,2.284491,2
48.87001,2.40308,2
48.870121,2.283998,2
48.87025,2.35008,2
48.870544,2.284169,2
48.8708,2.283113,2
48.87081,2.31774,2
48.870939,2.284813,2
48.870955,2.281216,2
48.87123,2.32001,2
48.87135,2.31538,2
48.871872,2.317643,2
48.87217,2.3916,2
48.87219,2.30504,2
48.87274,2.30915,2
48.872763,2.272776,2
48.872772,2.323845,2
48.87318,2.30554,2
48.87418,2.3251,2
48.874469,2.283952,2
48.874722,2.308544,2
48.87475,2.28622,2
48.87598,2.29538,2
48.87669,2.29549,2
48.87758,2.349805,2
48.87827,2.31556,2
48.87882,2.35134,2
48.87968,2.3331,2
48.88045,2.35765,2
48.8812,2.34638,2
48.88128,2.34248,2
48.88132,2.31761,2
48.88245,2.30135,2
48.88251,2.31469,2
48.88415,2.342,2
48.88471,2.29042,2
48.88586,2.3092,2
48.88732,2.37891,2
48.887371,2.304729,2
48.88758,2.34779,2
48.88854,2.30126,2
48.89039,2.33596,2
48.89065,2.363,2
48.89131,2.35299,2
48.89212,2.32327,2
48.89363,2.32425,2
48.89589,2.34464,2
